Name,Path,BlockType,Orientation,LibraryLink,Mirror,Rotation,GotoTag,GotoVisibility,FromTag,Left,Top,Right,Bottom,CenterX,CenterY
Constant,untitled3/Constant,Constant,right,,off,0,,,,-785,170,-755,200,-770,185
DC Voltage Source,untitled3/DC Voltage Source,SubSystem,up,powerlib/Electrical
Sources/DC Voltage Source,off,270,,,,10,200,30,235,20,217.5
DCVoltageSource,untitled3/DC Voltage Source/DCVoltageSource,PMComponent,right,,off,0,,,,70,25,160,55,115,40
Goto,untitled3/DC Voltage Source/Goto,Goto,right,,off,0,T32_2973_1866969797167,global,,130,94,200,116,165,105
Model,untitled3/DC Voltage Source/Model,SubSystem,right,spsSourcesModel/DC,off,0,,,,20,82,60,128,40,105
DC,untitled3/DC Voltage Source/Model/DC,Constant,right,,off,0,,,,20,21,50,49,35,35
Out1,untitled3/DC Voltage Source/Model/Out1,Outport,right,,off,0,,,,70,28,100,42,85,35
-,untitled3/DC Voltage Source/-,PMIOPort,right,,off,0,,,,15,33,45,47,30,40
+,untitled3/DC Voltage Source/+,PMIOPort,left,,on,-0,,,,185,33,215,47,200,40
From,untitled3/From,From,right,,off,0,,,A1,-30,-4,10,24,-10,10
From1,untitled3/From1,From,right,,off,0,,,A2,315,-39,355,-11,335,-25
From2,untitled3/From2,From,right,,off,0,,,A4,365,-84,405,-56,385,-70
From3,untitled3/From3,From,right,,off,0,,,A3,-95,-114,-55,-86,-75,-100
Goto,untitled3/Goto,Goto,right,,off,0,A1,local,,-170,155,-130,185,-150,170
Goto1,untitled3/Goto1,Goto,right,,off,0,A4,local,,-195,475,-155,505,-175,490
Goto2,untitled3/Goto2,Goto,right,,off,0,A3,local,,-250,400,-210,430,-230,415
Goto3,untitled3/Goto3,Goto,right,,off,0,A2,local,,-180,330,-140,360,-160,345
IGBT,untitled3/IGBT,SubSystem,down,powerlib/Power
Electronics/IGBT,off,90,,,,108,110,152,170,130,140
g,untitled3/IGBT/g,Inport,right,,off,0,,,,35,103,65,117,50,110
Goto,untitled3/IGBT/Goto,Goto,right,,off,0,T19_1721_580771034503,global,,250,210,325,230,287.5,220
IGBT,untitled3/IGBT/IGBT,PMComponent,right,,off,0,,,,115,16,215,44,165,30
ISWITCH,untitled3/IGBT/ISWITCH,Terminator,right,,off,0,,,,260,90,330,110,295,100
ITAIL,untitled3/IGBT/ITAIL,Terminator,right,,off,0,,,,250,250,325,270,287.5,260
Model,untitled3/IGBT/Model,SubSystem,right,spsIGBTModel/SPID,off,0,,,,115,76,215,284,165,180
gate ,untitled3/IGBT/Model/gate ,Inport,right,,off,0,,,,100,23,130,37,115,30
Uswitch,untitled3/IGBT/Model/Uswitch,Inport,right,,off,0,,,,20,163,50,177,35,170
status,untitled3/IGBT/Model/status,Inport,right,,off,0,,,,20,218,50,232,35,225
