Path,Name,BlockType,Orientation,Position_1,Position_2,Position_3,Position_4,Center_1,Center_2,LibraryLink,Mirror,Rotation,GotoTag,GotoVisibility,FromTag
"testgen/charging_circuit_filtering1","charging_circuit_filtering1","SubSystem","right",445,80,485,140,465,110,"urban_rail/charging_circuit_filtering","off",0,"","",""
"testgen/charging_circuit_filtering1/Current Measurement6","Current Measurement6","SubSystem","right",110,102,135,138,122.5,120,"spsCurrentMeasurementLib/Current Measurement","off",0,"","",""
"testgen/charging_circuit_filtering1/Ideal Switch","Ideal Switch","SubSystem","right",305,25,360,65,332.5,45,"spsIdealSwitchLib/Ideal Switch","off",0,"","",""
"testgen/charging_circuit_filtering1/Ideal Switch1","Ideal Switch1","SubSystem","right",265,95,320,135,292.5,115,"spsIdealSwitchLib/Ideal Switch","off",0,"","",""
"testgen/charging_circuit_filtering1/Series RLC Branch2","Series RLC Branch2","PMComponent","right",340,99,380,131,360,115,"spsSeriesRLCBranchLib/Series RLC Branch","off",0,"","",""
"testgen/charging_circuit_filtering1/Series RLC Branch6","Series RLC Branch6","PMComponent","right",470,99,510,131,490,115,"spsSeriesRLCBranchLib/Series RLC Branch","off",0,"","",""
"testgen/charging_circuit_filtering1/Timer","Timer","SubSystem","right",200,23,230,47,215,35,"powerlib_extras/Control 
Blocks/Timer","off",0,"","",""
"testgen/charging_circuit_filtering1/Timer1","Timer1","SubSystem","right",200,93,225,117,212.5,105,"powerlib_extras/Control 
Blocks/Timer","off",0,"","",""
"testgen/charging_circuit_filtering1/Conn1","Conn1","PMIOPort","right",20,113,50,127,35,120,"","off",0,"","",""
"testgen/charging_circuit_filtering1/Conn2","Conn2","PMIOPort","left",560,108,590,122,575,115,"","on",-0,"","",""
"testgen/charging_circuit_filtering1/Out1","Out1","Outport","right",170,103,200,117,185,110,"","off",0,"","",""
"testgen/inverter_3bridge_2asymotor","inverter_3bridge_2asymotor","SubSystem","right",1170,192,1235,283,1202.5,237.5,"urban_rail/inverter_3bridge_2asymotor","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Asynchronous Machine
SI Units1","Asynchronous Machine
SI Units1","SubSystem","right",780,113,855,197,817.5,155,"spsAsynchronousMachineSIUnitsLib/Asynchronous Machine
SI Units","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Asynchronous Machine
SI Units3","Asynchronous Machine
SI Units3","SubSystem","right",785,228,860,312,822.5,270,"spsAsynchronousMachineSIUnitsLib/Asynchronous Machine
SI Units","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Current Measurement2","Current Measurement2","SubSystem","down",272,175,308,200,290,187.5,"spsCurrentMeasurementLib/Current Measurement","off",90,"","",""
"testgen/inverter_3bridge_2asymotor/From","From","From","right",710,21,750,49,730,35,"","off",0,"","","wm"
"testgen/inverter_3bridge_2asymotor/From3","From3","From","left",450,45,500,65,475,55,"","on",-0,"","","Pulse_in"
"testgen/inverter_3bridge_2asymotor/IGBT Inverter","IGBT Inverter","SubSystem","left",340,94,405,206,372.5,150,"spsUniversalBridgeLib/Universal Bridge","on",-0,"","",""
"testgen/inverter_3bridge_2asymotor/Mean Value2","Mean Value2","SubSystem","right",460,308,520,342,490,325,"powerlib_extras/Measurements/Mean Value","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Mean Value3","Mean Value3","SubSystem","right",475,268,535,302,505,285,"powerlib_extras/Measurements/Mean Value","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Mux3","Mux3","Mux","right",415,236,420,274,417.5,255,"","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Mux5","Mux5","Mux","right",550,296,555,334,552.5,315,"","off",0,"","",""
"testgen/inverter_3bridge_2asymotor/Mux6","Mux6","Mux","right",580,266,585,304,582.5,285,"","off",0,"","",""
