BlockPath,PortNumber,PortType,Position_1,Position_2,RelPos_1,RelPos_2,Side
"untitled3/Constant",NaN,"1",-700,285,-38.3333333333333,32.2857142857143,"bottom"
"untitled3/Current Measurement",NaN,"1",295,250,-5.16666666666667,29.7857142857143,"left"
"untitled3/Current Measurement",NaN,"LConn1",261,255,-6.3,30.1428571428571,"left"
"untitled3/Current Measurement",NaN,"RConn1",294,260,-5.2,30.5,"left"
"untitled3/DC Voltage Source",NaN,"LConn1",20,239,-14.3333333333333,29,"bottom"
"untitled3/DC Voltage Source",NaN,"RConn1",20,196,-14.3333333333333,25.9285714285714,"bottom"
"untitled3/From",NaN,"1",15,10,-14.5,12.6428571428571,"bottom"
"untitled3/From1",NaN,"1",525,20,2.5,13.3571428571429,"right"
"untitled3/From2",NaN,"1",550,245,3.33333333333333,29.4285714285714,"right"
"untitled3/From3",NaN,"1",90,170,-12,24.0714285714286,"bottom"
"untitled3/Goto",NaN,"1",-175,170,-20.8333333333333,24.0714285714286,"bottom"
"untitled3/Goto1",NaN,"1",-200,490,-21.6666666666667,46.9285714285714,"bottom"
"untitled3/Goto2",NaN,"1",-255,415,-23.5,41.5714285714286,"bottom"
"untitled3/Goto3",NaN,"1",-185,345,-21.1666666666667,36.5714285714286,"bottom"
"untitled3/Goto4",NaN,"1",220,-110,-7.66666666666667,4.07142857142857,"bottom"
"untitled3/Goto5",NaN,"1",310,425,-4.66666666666667,42.2857142857143,"left"
"untitled3/GreaterThan",NaN,"1",-415,405,-28.8333333333333,40.8571428571429,"bottom"
"untitled3/GreaterThan",NaN,"2",-415,420,-28.8333333333333,41.9285714285714,"bottom"
"untitled3/GreaterThan",NaN,"1",-375,415,-27.5,41.5714285714286,"bottom"
"untitled3/GreaterThan1",NaN,"1",-560,220,-33.6666666666667,27.6428571428571,"bottom"
"untitled3/GreaterThan1",NaN,"2",-560,235,-33.6666666666667,28.7142857142857,"bottom"
"untitled3/GreaterThan1",NaN,"1",-520,230,-32.3333333333333,28.3571428571429,"bottom"
"untitled3/IGBT",NaN,"1",140,105,-10.3333333333333,19.4285714285714,"bottom"
"untitled3/IGBT",NaN,"LConn1",120,106,-11,19.5,"bottom"
"untitled3/IGBT",NaN,"RConn1",130,174,-10.6666666666667,24.3571428571429,"left"
"untitled3/IGBT1",NaN,"1",470,105,0.666666666666667,19.4285714285714,"right"
"untitled3/IGBT1",NaN,"LConn1",450,106,0,19.5,"left"
"untitled3/IGBT1",NaN,"RConn1",460,174,0.333333333333333,24.3571428571429,"left"
"untitled3/IGBT2",NaN,"1",140,265,-10.3333333333333,30.8571428571429,"left"
"untitled3/IGBT2",NaN,"LConn1",120,266,-11,30.9285714285714,"left"
"untitled3/IGBT2",NaN,"RConn1",130,334,-10.6666666666667,35.7857142857143,"left"
"untitled3/IGBT3",NaN,"1",460,255,0.333333333333333,30.1428571428571,"left"
"untitled3/IGBT3",NaN,"LConn1",440,256,-0.333333333333333,30.2142857142857,"left"
"untitled3/IGBT3",NaN,"RConn1",450,324,0,35.0714285714286,"left"
"untitled3/NOT",NaN,"1",-435,320,-29.5,34.7857142857143,"bottom"
"untitled3/NOT",NaN,"1",-395,320,-28.1666666666667,34.7857142857143,"bottom"
"untitled3/NOT1",NaN,"1",-400,505,-28.3333333333333,48,"bottom"
"untitled3/NOT1",NaN,"1",-360,505,-27,48,"bottom"
"untitled3/Product1",NaN,"1",-575,420,-34.1666666666667,41.9285714285714,"bottom"
"untitled3/Product1",NaN,"2",-575,435,-34.1666666666667,43,"bottom"
"untitled3/Product1",NaN,"1",-535,430,-32.8333333333333,42.6428571428571,"bottom"
"untitled3/Repeating
Sequence",NaN,"1",-735,460,-39.5,44.7857142857143,"bottom"
"untitled3/Scope——1",NaN,"1",360,125,-3,20.8571428571429,"left"
"untitled3/Scope——2",NaN,"1",370,-5,-2.66666666666667,11.5714285714286,"left"
"untitled3/Scope——3",NaN,"1",-455,105,-30.1666666666667,19.4285714285714,"bottom"
"untitled3/Scope——4",NaN,"1",700,-60,8.33333333333333,7.64285714285714,"bottom"
"untitled3/Series RLC Branch",NaN,"LConn1",156,215,-9.8,27.2857142857143,"left"
"untitled3/Series RLC Branch",NaN,"RConn1",244,215,-6.86666666666667,27.2857142857143,"left"
"untitled3/Series RLC Branch1",NaN,"LConn1",311,215,-4.63333333333333,27.2857142857143,"left"
"untitled3/Series RLC Branch1",NaN,"RConn1",399,215,-1.7,27.2857142857143,"left"
"untitled3/Sine Wave",NaN,"1",-555,325,-33.5,35.1428571428571,"bottom"
"untitled3/Sine Wave1",NaN,"1",-695,200,-38.1666666666667,26.2142857142857,"bottom"
"untitled3/Square Wave
Generator",NaN,"1",-735,390,-39.5,39.7857142857143,"bottom"
"untitled3/Voltage Measurement",NaN,"1",315,150,-4.5,22.6428571428571,"left"
"untitled3/Voltage Measurement",NaN,"LConn1",281,145,-5.63333333333333,22.2857142857143,"left"
"untitled3/Voltage Measurement",NaN,"LConn2",281,155,-5.63333333333333,23,"left"
"untitled3/Outport",NaN,"1",110,-185,-11.3333333333333,-1.28571428571429,"top"
"untitled3/Outport1",NaN,"1",-130,-140,-19.3333333333333,1.92857142857143,"bottom"
"untitled3/Outport2",NaN,"1",445,-160,-0.166666666666667,0.5,"left"
