Source,SourcePort,Destination,DestinationPort
NOT1,1,Goto,1
GreaterThan1,1,Goto2,1
GreaterThan1,1,NOT1,1
Product,1,GreaterThan1,2
Sine Wave1,1,GreaterThan1,1
Square Wave
Generator,1,Product,1
Square Wave
Generator,1,Scope1,1
Repeating
Sequence,1,Product,2
Voltage Measurement,1,Scope,1
NOT,1,Goto3,1
GreaterThan,1,Goto1,1
GreaterThan,1,NOT,1
Constant,1,GreaterThan,2
Sine Wave,1,GreaterThan,1
From3,1,IGBT/Diode3,1
From1,1,IGBT/Diode,1
From2,1,IGBT/Diode1,1
From,1,IGBT/Diode2,1
Constant,-1,GreaterThan,1
DC Voltage Source,-1,IGBT/Diode1,481.000366210938
DC Voltage Source,-1,IGBT/Diode3,489.000366210938
DC Voltage Source,-1,IGBT/Diode2,484.000366210938
DC Voltage Source,-1,IGBT/Diode,476.000854492188
DCVoltageSource,-1,-,1121.00085449219
DCVoltageSource,-1,+,1124.00061035156
Model,-1,Goto,-1
Model,-1,Goto,0
DC,-1,Out1,0
DC,-1,Out1,-1
-,-1,DCVoltageSource,1114.00061035156
+,-1,DCVoltageSource,1115.00048828125
From,-1,IGBT/Diode2,0
From1,-1,IGBT/Diode,0
From2,-1,IGBT/Diode1,0
From3,-1,IGBT/Diode3,0
NOT1,-1,Goto,-1
GreaterThan,-1,Goto1,-1
GreaterThan1,-1,Goto2,-1
NOT,-1,Goto3,-1
Sine Wave,-1,GreaterThan,-1
Constant,-1,GreaterThan,-1
GreaterThan,-1,Goto1,0
GreaterThan,-1,NOT,0
Sine Wave1,-1,GreaterThan1,-1
Product,-1,GreaterThan1,-1
GreaterThan1,-1,Goto2,0
GreaterThan1,-1,NOT1,0
From1,-1,IGBT/Diode,-1
IGBT/Diode,-1,IGBT/Diode2,484.000366210938
IGBT/Diode,-1,DC Voltage Source,449.000732421875
IGBT/Diode,-1,Series RLC Branch1,511.00048828125
IGBT/Diode,-1,IGBT/Diode3,488.00048828125
g,-1,Model,0
Model,-1,Goto,-1
IGBT/Diode,-1,C,1209.00036621094
IGBT/Diode,-1,E,1212.00036621094
g,-1,Model,-1
Uswitch,-1,Model,-1
Status,-1,Model,-1
Model,-1,m,0
Model,-1,Goto,0
gate ,-1,Data Type Conversion,0
Uswitch,-1,Mux,1
Uswitch,-1,1/Rsw,0
status,-1,Switch,1
0 4,-1,Switch,2
Uswitch,-1,1/Rsw,-1
1/Rsw,-1,Switch,0
gate ,-1,Data Type Conversion,-1
Data Type Conversion,-1,gate,0
Mux,-1,Measurement list,-1
Measurement list,-1,m,0
In1,-1,Demux,0
Demux,-1,Bus
Creator1,-1
Bus
Creator1,-1,Out1,0
In1,-1,Demux,-1
Demux,-1,Bus
Creator1,0
Demux,-1,Bus
Creator1,1
Bus
Creator1,-1,Out1,-1
Switch,-1,Mux,-1
Uswitch,-1,Mux,-1
Mux,-1,Measurement list,0
1/Rsw,-1,Switch,-1
status,-1,Switch,-1
0 4,-1,Switch,-1
Switch,-1,Mux,0
Measurement list,-1,m,-1
Data Type Conversion,-1,gate,-1
Status,-1,Model,2
Uswitch,-1,Model,1
Model,-1,m,-1
C,-1,IGBT/Diode,1196.00036621094
E,-1,IGBT/Diode,1197.00036621094
From2,-1,IGBT/Diode1,-1
IGBT/Diode1,-1,IGBT/Diode2,485.000366210938
